Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
632.5215	0.1896245	0.1799703	0.01897	0.031739023	0.016535062
646.1506	0.1898753	0.1761438	0.02493	0.033063654	0.016677782
660.0733	0.1898889	0.1717649	0.03145	0.03443186	0.016803028
674.296	0.1895095	0.1666261	0.03825	0.035777152	0.016872516
688.8251	0.1887809	0.1608015	0.04509	0.037090372	0.016888518
703.6674	0.1877594	0.1543829	0.05172	0.038374215	0.016859185
718.8294	0.1864494	0.1473888	0.0579	0.039598323	0.016772017
734.3181	0.1850998	0.1401577	0.06359	0.040853314	0.016684022
750.1406	0.1837429	0.1327328	0.06861	0.042162854	0.016608644
766.304	0.1824635	0.1252056	0.07285	0.043562703	0.016563937
782.8157	0.1814347	0.1177491	0.07623	0.045162454	0.016607948
799.6831	0.1804153	0.1100162	0.07779	0.046909381	0.01671941
816.914	0.1790819	0.096732095	0.07594	0.048619948	0.016806718
834.5162	0.1775374	0.081781611	0.07492	0.050317012	0.016886424
852.4977	0.1758184	0.070009544	0.07222	0.05200522	0.016966384
870.8666	0.1739326	0.059319019	0.06798	0.053675476	0.017046882
889.6313	0.1719012	0.04942115	0.06239	0.055332184	0.017136184
908.8003	0.1697322	0.040268965	0.05573	0.056968123	0.017234072
928.3823	0.1674444	0.031902686	0.04839	0.058582973	0.017342031
948.3864	0.1650697	0.024401821	0.04071	0.060202174	0.017479047
968.8214	0.1625721	0.017837316	0.03309	0.061800241	0.017633872
989.6967	0.1599328	0.012297561	0.02592	0.063357644	0.017794881
1011.022	0.1571826	0.00787968	0.01957	0.064903758	0.017978147
1032.807	0.1543427	0.0046638316	0.01341	0.066472381	0.018202035
1055.061	0.1513414	0.0027083729	0.00813	0.068017781	0.018441021
1077.794	0.1481667	0.0020634083	0.00425	0.069551796	0.018701816
1101.018	0.144804	0.0027564471	0.00177	0.071070388	0.018984009
1124.741	0.1412369	0.0048002452	6.07723E-4	0.072539732	0.019276265
1148.976	0.1374816	0.008194265	5.80796E-4	0.073977858	0.019597996
1173.734	0.1335524	0.012932106	0.00142	0.075366534	0.019953765
1199.024	0.1294812	0.019013938	0.0028	0.076641493	0.020329356
1224.86	0.1253267	0.026428029	0.00421	0.077802211	0.020742379
1251.252	0.1211693	0.035159793	0.00546	0.078819588	0.021196146
1278.213	0.1171086	0.045177359	0.00655	0.079623096	0.021669229
1305.755	0.1132583	0.056386016	0.00732	0.080183677	0.022154164
1333.89	0.1097674	0.068619713	0.00775	0.08043278	0.022612276
1362.632	0.1067879	0.081599593	0.00786	0.080299817	0.022985995
1391.992	0.1044873	0.094924733	0.00768	0.079794943	0.023247655
1421.986	0.1030239	0.1080687	0.00724	0.078918934	0.02334802
1452.626	0.1024787	0.1203977	0.00651	0.07767731	0.02322622
1483.926	0.1029553	0.1312423	0.00546	0.076146461	0.022857577
1515.9	0.1045146	0.1399265	0.00428	0.074412331	0.022220686
1548.563	0.1070457	0.1457601	0.00309	0.072522201	0.02128139
1581.93	0.1104566	0.1481092	0.00201	0.070564315	0.020045994
1616.016	0.1145335	0.1461897	0.00113	0.068614103	0.018545797
1650.837	0.1188347	0.1322706	5.06551E-4	0.066692032	0.016837602
1686.408	0.1229609	0.12058	1.43278E-4	0.064790286	0.014984413
1722.745	0.1263534	0.108005	9.61992E-6	0.062838264	0.013061631
1759.865	0.1283457	0.093988895	5.56398E-5	0.060702171	0.011148046
1797.786	0.1281602	0.078361154	2.18553E-4	0.058137294	0.0092786439
1836.523	0.124947	0.061432496	4.33267E-4	0.054848965	0.0074945143
1876.095	0.1179124	0.044157907	6.41252E-4	0.050503407	0.0058303624
1916.519	0.1066704	0.028131237	7.89139E-4	0.044849504	0.0043127122
1957.815	0.09132234	0.01513264	8.37179E-4	0.037751652	0.0029733882
2000	0.072339915	0.0062452368	7.71633E-4	0.029131798	0.0018485442
