Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
889.6313	0.1891607	0.08731	0.06459	0.04896	0.01989
908.8003	0.1878808	0.07678	0.06243	0.05072	0.02004
928.3823	0.1864612	0.06658	0.05907	0.0525	0.02019
948.3864	0.1849341	0.05679	0.05465	0.05432	0.02038
968.8214	0.1832632	0.04749	0.0494	0.05615	0.02057
989.6967	0.1814332	0.03875	0.04366	0.05799	0.02078
1011.022	0.179482	0.03071	0.03786	0.05985	0.02101
1032.807	0.1774386	0.02349	0.03095	0.06177	0.02128
1055.061	0.1752308	0.01717	0.02392	0.0637	0.02156
1077.794	0.1728498	0.01187	0.01751	0.06565	0.02186
1101.018	0.1702788	0.00768	0.01196	0.06764	0.02218
1124.741	0.1674881	0.00468	0.00745	0.06964	0.0225
1148.976	0.1644809	0.00294	0.00405	0.07168	0.02284
1173.734	0.161245	0.0025	0.00177	0.07375	0.02321
1199.024	0.1577695	0.0034	5.10423E-4	0.07581	0.02358
1224.86	0.1540738	0.00568	8.73256E-5	0.07788	0.02397
1251.252	0.1501885	0.00938	2.45121E-4	0.07994	0.02441
1278.213	0.1461577	0.01454	7.44276E-4	0.08192	0.02488
1305.755	0.1420319	0.0212	0.00145	0.08381	0.02538
1333.89	0.1379015	0.02937	0.00225	0.08551	0.02588
1362.632	0.1338936	0.03899	0.00307	0.08693	0.02636
1391.992	0.1301557	0.04992	0.00386	0.08804	0.0268
1421.986	0.1268566	0.06188	0.00461	0.08877	0.02715
1452.626	0.1241509	0.07443	0.00514	0.08906	0.02735
1483.926	0.1222113	0.087	0.00527	0.08893	0.02738
1515.9	0.1212059	0.0989	0.00508	0.0884	0.02719
1548.563	0.12121	0.10932	0.00462	0.08745	0.02672
1581.93	0.1223119	0.11741	0.00395	0.08616	0.02593
1616.016	0.1245207	0.12206	0.00317	0.0846	0.02482
1650.837	0.1276507	0.11557	0.0024	0.08285	0.0234
1686.408	0.131533	0.1107	0.0017	0.08098	0.0217
1722.745	0.1358284	0.10457	0.00109	0.07905	0.01979
1759.865	0.1400172	0.09661	6.13026E-4	0.07705	0.01774
1797.786	0.1434213	0.08642	2.72145E-4	0.07485	0.01559
1836.523	0.1450806	0.0738	7.315E-5	0.07221	0.01337
1876.095	0.1437361	0.05902	5.34555E-6	0.06872	0.01114
1916.519	0.1381844	0.0431	4.50213E-5	0.06392	0.00894
1957.815	0.1272699	0.02787	1.47036E-4	0.05725	0.0068
2000	0.1096624	0.0152	2.56127E-4	0.04797	0.00477
