Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
348.2086	0.1551443	0.1778529	0.1018347	0.013851265	0.011467775
355.7115	0.1568828	0.1801552	0.096805856	0.014061399	0.011668435
363.3761	0.1586495	0.1824386	0.091608413	0.014292348	0.011875916
371.2058	0.1604792	0.1847468	0.08630418	0.014549061	0.01209592
379.2043	0.1624103	0.1871294	0.080952749	0.014838006	0.012334972
387.3751	0.1645708	0.1897624	0.075696401	0.015179139	0.012615195
395.7219	0.1670952	0.1928356	0.07065355	0.015602693	0.012962831
404.2486	0.1696222	0.1958454	0.065594316	0.016084276	0.013324158
412.959	0.1717795	0.1982564	0.060670268	0.016559737	0.013631579
421.8571	0.1736844	0.2002188	0.054708291	0.017036583	0.013901763
430.9469	0.1754261	0.2018475	0.048605759	0.017527318	0.01414948
440.2326	0.1770425	0.2031867	0.042511661	0.018038487	0.014381169
449.7183	0.1785931	0.2043137	0.036550004	0.018579694	0.014607205
459.4085	0.180039	0.2051638	0.03077773	0.019151941	0.014822583
469.3074	0.1813318	0.2056577	0.025266159	0.019749235	0.015018687
479.4197	0.182423	0.2057156	0.020100009	0.020361705	0.015185503
489.7498	0.1833237	0.2053454	0.015382357	0.020991366	0.015324962
500.3025	0.184015	0.204512	0.011202751	0.021636188	0.015434027
511.0826	0.1843752	0.2030297	0.0076353815	0.022274239	0.015490184
522.095	0.1840697	0.2004025	0.0047476296	0.022829296	0.015426417
533.3447	0.1832043	0.1967852	0.0026434248	0.023267061	0.015245228
544.8367	0.1827918	0.1936596	0.0013893737	0.023760486	0.015127705
556.5764	0.183528	0.1920268	9.7989E-4	0.024523644	0.015224122
568.569	0.1849209	0.1911558	0.0014331357	0.025541255	0.015470495
580.8201	0.186028	0.1896712	0.0028015247	0.026616514	0.015692797
593.3351	0.1867927	0.1874867	0.0051476681	0.027704922	0.015868317
606.1198	0.1872979	0.1847204	0.0086094746	0.028814698	0.016009375
619.18	0.1876042	0.181458	0.013260014	0.029952591	0.01612499
632.5215	0.1878315	0.1778672	0.01830654	0.031148821	0.016238691
646.1506	0.1880359	0.174026	0.024097921	0.032436557	0.016370447
660.0733	0.1880118	0.1696506	0.030436574	0.033768069	0.016485792
674.296	0.1875986	0.1645279	0.037052151	0.035076618	0.016546253
688.8251	0.1868405	0.158733	0.043707792	0.036353409	0.016554235
703.6674	0.1857849	0.1523471	0.050154641	0.037598688	0.016516488
718.8294	0.1844277	0.1453804	0.056153379	0.038780078	0.016419614
734.3181	0.1830422	0.1381983	0.061688289	0.039993986	0.016323507
750.1406	0.1816652	0.1308475	0.066573933	0.041265376	0.016242005
766.304	0.1803863	0.1234216	0.070734382	0.042631481	0.016193539
782.8157	0.1793855	0.116097	0.074079178	0.044203427	0.016236156
799.6831	0.1784071	0.108511	0.075689934	0.045924764	0.016346434
816.914	0.1771096	0.095460244	0.073999219	0.047608539	0.016431643
834.5162	0.1756003	0.080770694	0.073092788	0.049278911	0.01650882
852.4977	0.1739186	0.069195837	0.070555881	0.050941709	0.016586181
870.8666	0.1720729	0.058678243	0.066519693	0.052588258	0.016664084
889.6313	0.1700821	0.048933499	0.061147913	0.054222122	0.016750323
908.8003	0.1679538	0.039915662	0.05472197	0.055836011	0.016844619
928.3823	0.1657072	0.03166486	0.047614895	0.057429817	0.01694851
948.3864	0.1633737	0.02425951	0.040156558	0.059028428	0.017080555
968.8214	0.1609177	0.017769555	0.032719228	0.060606908	0.017229807
989.6967	0.1583209	0.012282289	0.025705539	0.062146164	0.017384931
1011.022	0.1556155	0.0078938864	0.019478181	0.063675947	0.017561957
1032.807	0.1528242	0.0046837116	0.013399589	0.065230653	0.017779194
1055.061	0.1498711	0.0027094171	0.0081832586	0.06676279	0.018010825
1077.794	0.1467446	0.0020213176	0.0043162541	0.068284206	0.0182635
1101.018	0.1434301	0.0026474262	0.0018188332	0.069791295	0.018536927
1124.741	0.1399107	0.0046010548	6.1900291E-4	0.071250647	0.018819969
1148.976	0.1362026	0.0078824824	5.430968E-4	0.072680548	0.019131841
1173.734	0.1323194	0.012486066	0.0013359273	0.074063241	0.019477131
1199.024	0.1282914	0.01841243	0.0026720383	0.075335257	0.019841976
1224.86	0.1241768	0.025650928	0.0040611862	0.076496527	0.020243963
1251.252	0.1200549	0.03418836	0.0053182505	0.077518664	0.020686667
1278.213	0.1160233	0.043994691	0.0064206151	0.078331769	0.02114927
1305.755	0.112194	0.054978643	0.0072244415	0.078906894	0.021624805
1333.89	0.1087139	0.066978902	0.0076921447	0.079175785	0.022075644
1362.632	0.1057336	0.079723179	0.0078448784	0.079067759	0.022445388
1391.992	0.1034202	0.09282016	0.0077039925	0.078592621	0.022707244
1421.986	0.1019312	0.1057546	0.0073009878	0.07775034	0.022812955
1452.626	0.1013486	0.117904	0.0065977299	0.076545082	0.022702355
1483.926	0.1017771	0.128612	0.0055677341	0.075052023	0.022351116
1515.9	0.103279	0.1372145	0.0043897429	0.073355742	0.021737877
1548.563	0.105747	0.1430293	0.0031931645	0.071501918	0.020828063
1581.93	0.1090923	0.14543	0.0020953103	0.069578119	0.019627338
1616.016	0.1131062	0.1436405	0.0011939727	0.067659751	0.018165816
1650.837	0.1173532	0.1300802	5.4580905E-4	0.065767854	0.016498435
1686.408	0.12144	0.1186773	1.6123362E-4	0.063896365	0.014686876
1722.745	0.1248147	0.1063853	1.2134141E-5	0.061977368	0.012805142
1759.865	0.126817	0.092658773	5.0911833E-5	0.059880067	0.010930702
1797.786	0.1266745	0.077326156	2.1538688E-4	0.05736303	0.0090980893
1836.523	0.1235409	0.06068841	4.392266E-4	0.054134876	0.0073480122
1876.095	0.1166202	0.043680392	6.6116237E-4	0.049863514	0.0057148272
1916.519	0.10552	0.027872389	8.2406966E-4	0.044298492	0.0042250878
1957.815	0.090329312	0.015025577	8.841221E-4	0.037302285	0.002910326
2000	0.071499303	0.0062209168	8.2385191E-4	0.028791286	0.0018057703
