Energy;cff = 2.25
eV;
;3 order
505,002;0,0149333528621772
505,993;0,0149433380021954
506,987;0,0149486990156522
507,977;0,0149363075275219
508,97;0,014934413222916
509,959;0,0149063893517923
510,952;0,0148975055939743
511,943;0,0148832086874587
512,935;0,0148596291260681
513,927;0,0148256835848204
514,915;0,0147565426347798
515,906;0,0147096971220708
516,902;0,0146477834918801
517,894;0,0146243943731384
518,882;0,0146301312594763
519,873;0,0146996189371551
520,866;0,0147893242400309
521,855;0,0148439391728771
522,846;0,0148425825119458
523,842;0,0148622818896433
524,833;0,0148800555137459
525,822;0,0149138753160419
526,817;0,0149881825086508
527,806;0,0150698383317205
528,797;0,0151450372063909
529,788;0,0151110181171785
530,779;0,0151864423409523
531,769;0,0153429457791289
532,76;0,0153964559686525
533,75;0,0155540114171238
534,746;0,0155867005736716
535,735;0,0155906187938157
536,727;0,0155958712398728
537,717;0,0156480422465512
538,708;0,0156826556498263
539,703;0,0157643118907624
540,693;0,0158406812725772
541,683;0,0159047564600679
542,676;0,0159509460047564
543,665;0,0160366724110427
544,658;0,0161172861493144
545,648;0,0161993747796184
546,64;0,016262093413463
547,632;0,0163145566943765
548,623;0,0163705174498045
549,615;0,016414619305255
550,605;0,0164705719336856
551,596;0,0165224236657058
552,588;0,016588614736185
553,577;0,0166339511521508
554,572;0,0166952449827786
555,56;0,0167490708613929
556,555;0,01680787288425
557,543;0,0168600781429298
558,536;0,0169205397300341
559,531;0,0169669749163555
560,518;0,0170250316026302
561,511;0,0170798801558617
562,501;0,0171218135908178
563,496;0,0171519016376316
564,485;0,0171945815438536
565,474;0,0172224020832806
566,469;0,017257867198949
567,459;0,017288919158172
568,452;0,017328157115835
569,445;0,0173568894900772
570,434;0,0174088227047178
571,424;0,0174231900979741
572,418;0,017455028560956
573,406;0,0175052251330071
574,401;0,0175435022042677
575,394;0,0175662234885011
576,38;0,0176423515932657
577,374;0,0176515337682461
578,365;0,0176976433652937
579,357;0,0177439360794912
580,348;0,0177807907771764
581,339;0,0178421773826662
582,328;0,0178546508910009
583,322;0,0178862974918857
584,314;0,0179204706888927
585,304;0,0179541955242632
586,293;0,0179874257125155
587,289;0,0180289975880768
588,281;0,0180484636867987
589,268;0,0180709079356524
590,259;0,0181537702204017
591,256;0,0181672821711491
592,245;0,0182000237811579
593,235;0,0182252343715975
594,226;0,0182730830207272
595,218;0,0183139903622071
596,21;0,0183468927156694
597,203;0,0183915793881166
598,19;0,0183951709144071
599,182;0,0184666828183512
600,177;0,0184777416852584
601,165;0,0184965284910598
602,158;0,0185109601484431
603,15;0,0185570010336347
604,141;0,0185615498971063
605,13;0,0186165345239618
606,126;0,0186244369780068
607,115;0,0186467723668296
608,11;0,0186694977838318
609,104;0,0186857851231837
610,088;0,0187169327698813
611,081;0,0187383989726986
612,07;0,0187639512695551
613,064;0,0187992515248875
614,057;0,0188490311217911
615,047;0,0188800296896577
616,04;0,0189168749905592
617,034;0,0189735239082806
618,022;0,0190374233803205
619,01;0,0190853137663304
620,001;0,0191819782176469
620,993;0,0192139288124874
621,982;0,0192909122228471
622,975;0,0193417657451235
623,968;0,019393880316891
624,962;0,019427530791421
625,95;0,0194959347576506
626,941;0,0195209859095173
627,935;0,0195715704456053
628,927;0,0196289078576346
629,918;0,0196570522342362
630,911;0,0197009860990524
631,9;0,0197633254525361
632,891;0,0197716256562668
633,887;0,0198199942141663
634,877;0,0198648554977912
635,869;0,0199171500730585
636,861;0,0199277939366159
637,851;0,0196161310394826
638,84;0,0200897337652216
639,83;0,0201448138776217
640,825;0,0201510432000059
641,815;0,0202235950880257
642,806;0,0202472970197013
643,794;0,0203323620904771
644,786;0,0203210076366466
645,777;0,0204110828346659
646,773;0,0204745971310752
647,764;0,0204925105674513
