Energy;alpha = 2 deg
eV;
;1 order
557,546;0,18509
558,537;0,18502
559,531;0,18507
560,518;0,18489
561,511;0,18473
562,501;0,18473
563,498;0,18474
564,486;0,18457
565,475;0,18446
566,469;0,18435
567,459;0,18407
568,452;0,18381
569,444;0,18387
570,433;0,18385
571,425;0,18356
572,416;0,1835
573,405;0,18303
574,4;0,18319
575,393;0,18326
576,38;0,18314
577,373;0,18297
578,364;0,18276
579,357;0,18256
580,352;0,18265
581,341;0,1823
582,331;0,18228
583,322;0,18207
584,315;0,18086
585,304;0,18168
586,293;0,18164
587,29;0,18149
588,283;0,18131
589,268;0,18104
590,259;0,18079
591,255;0,18076
592,245;0,18063
593,236;0,18044
594,227;0,18005
595,219;0,1801
596,21;0,17979
597,206;0,17956
598,19;0,17933
599,182;0,17915
600,178;0,1789
601,169;0,17872
602,158;0,17836
603,149;0,17841
604,142;0,17793
605,129;0,17772
606,125;0,1774
607,116;0,17705
608,109;0,17691
609,102;0,17645
610,087;0,1765
611,08;0,1762
612,068;0,17592
613,062;0,17574
614,055;0,17552
615,045;0,17526
616,04;0,17528
617,029;0,17522
618,02;0,17503
619,009;0,17513
620;0,17486
620,994;0,17501
621,983;0,17478
622,975;0,17471
623,968;0,17463
624,961;0,17453
625,952;0,17414
626,942;0,17382
627,931;0,17376
628,925;0,17375
629,916;0,17322
630,911;0,17319
631,902;0,17292
632,896;0,17273
633,885;0,17244
634,881;0,17214
635,869;0,17176
636,859;0,17187
637,85;0,17195
638,841;0,17155
639,832;0,17117
640,824;0,171
641,815;0,17093
642,807;0,17077
643,795;0,17047
644,788;0,17026
645,776;0,17018
646,773;0,16981
647,763;0,1696
649,744;0,16924
651,724;0,16858
653,707;0,16813
655,689;0,16774
657,678;0,16693
659,657;0,16651
661,64;0,16601
663,623;0,16542
665,606;0,16492
667,586;0,16431
669,569;0,16393
671,552;0,16322
673,536;0,1626
675,519;0,16207
677,501;0,16167
679,484;0,16094
681,466;0,16032
683,452;0,15955
685,434;0,159
687,417;0,15833
689,399;0,15723
691,378;0,15656
693,363;0,15568
695,346;0,15543
697,331;0,15491
699,312;0,15422
701,293;0,15383
703,269;0,15297
705,248;0,15226
707,222;0,15167
709,191;0,15082
711,17;0,15015
713,14;0,14954
715,119;0,14865
717,097;0,14786
719,065;0,1471
721,041;0,14621
723,017;0,14544
724,984;0,14443
726,957;0,14369
728,935;0,14291
730,916;0,14216
732,885;0,14132
734,858;0,14067
736,836;0,13994
738,809;0,13954
740,786;0,13872
742,758;0,13814
744,726;0,1374
746,703;0,13684
748,68;0,13615
750,654;0,13553
752,626;0,13472
754,605;0,1341
756,577;0,13334
758,547;0,13267
760,525;0,13182
762,5;0,13106
764,471;0,13047
766,446;0,12961
768,418;0,12902
770,393;0,12823
772,367;0,12756
774,343;0,12683
776,319;0,12614
778,292;0,1254
780,265;0,12461
782,238;0,12367
784,217;0,12296
786,195;0,12224
788,163;0,1214
790,137;0,12054
792,114;0,11973
794,086;0,11886
796,06;0,11778
798,034;0,11692
800,01;0,11599
801,985;0,11516
803,958;0,11417
805,931;0,11313
807,902;0,11184
809,882;0,11017
811,857;0,10815
813,833;0,10586
815,801;0,10355
817,776;0,10148
819,749;0,09957
821,725;0,09786
823,698;0,09643
825,677;0,09492
827,651;0,09345
829,621;0,09225
831,601;0,09084
833,571;0,0896
835,546;0,08822
837,521;0,08695
839,495;0,08575
841,468;0,08464
843,441;0,08351
845,412;0,08234
847,391;0,08116
849,37;0,07994
851,336;0,07889
853,309;0,07771
855,289;0,07674
857,266;0,07563
859,231;0,07462
861,213;0,0737
863,185;0,07248
865,165;0,07164
867,133;0,07053
869,108;0,06968
871,085;0,06857
873,062;0,06763
875,034;0,06658
877,012;0,06561
878,972;0,06466
880,957;0,06368
882,929;0,06273
884,9;0,06177
886,874;0,06086
888,854;0,05986
890,832;0,05905
892,795;0,05813
894,767;0,05712
896,746;0,05623
898,72;0,05533
900,699;0,05452
902,67;0,05374
