 Ni Density=8.902
 Energy(eV), Delta, Beta
  2701.55713  0.000241589994  2.96409598E-05
  2717.82471  0.000238672073  2.89995587E-05
  2734.19019  0.00023578915  2.83720055E-05
  2750.6543  0.000232940467  2.77579438E-05
  2767.21704  0.000230124351  2.71569879E-05
  2783.88013  0.000227342171  2.65689869E-05
  2800.64355  0.00022459215  2.59935478E-05
  2817.50757  0.00022187423  2.54304232E-05
  2834.47314  0.000219189213  2.48794968E-05
  2851.54102  0.000216535103  2.43403501E-05
  2868.71167  0.000213912936  2.38128923E-05
  2885.9856  0.000211322113  2.32967977E-05
  2903.36377  0.000208761077  2.27916262E-05
  2920.84644  0.00020623111  2.2297414E-05
  2938.43433  0.000203730771  2.18138121E-05
  2956.12842  0.000201259827  2.13405947E-05
  2973.92871  0.000198818874  2.08776655E-05
  2991.83643  0.000196406356  2.04246498E-05
  3009.85181  0.00019402297  1.99814713E-05
  3027.97559  0.000191668223  1.95478606E-05
  3046.20874  0.000189340746  1.91234449E-05
  3064.55151  0.000187041558  1.87082496E-05
  3083.00464  0.000184769655  1.83019401E-05
  3101.56909  0.000182524716  1.790434E-05
  3120.24536  0.000180307034  1.75153782E-05
  3139.03394  0.000178115311  1.71347619E-05
  3157.93579  0.00017595003  1.67623984E-05
  3176.95142  0.00017381084  1.63980658E-05
  3196.0813  0.000171696738  1.60415129E-05
  3215.3269  0.000169608276  1.56927072E-05
  3234.68799  0.000167544684  1.53514666E-05
  3254.16553  0.000165505669  1.50176193E-05
  3273.76074  0.000163491393  1.46910315E-05
  3293.47388  0.000161501113  1.43714033E-05
  3313.30566  0.000159534946  1.40586999E-05
  3333.25684  0.000157592585  1.37527804E-05
  3353.32788  0.000155673173  1.34533911E-05
  3373.52002  0.000153777088  1.31605193E-05
  3393.83398  0.000151903674  1.28739075E-05
  3414.27002  0.0001500527  1.2593463E-05
  3434.82935  0.000148224222  1.23191239E-05
  3455.51196  0.000146417442  1.20507702E-05
  3476.31958  0.00014463249  1.17882582E-05
  3497.2522  0.000142869249  1.15314388E-05
  3518.31104  0.000141127151  1.12800271E-05
  3539.49658  0.0001394063  1.10340989E-05
  3560.80981  0.000137706083  1.07935211E-05
  3582.25122  0.000136026181  1.05581794E-05
  3603.82202  0.000134366754  1.03279499E-05
  3625.52271  0.000132727146  1.01026417E-05
  3647.35376  0.00013110743  9.88222018E-06
  3669.31641  0.000129507418  9.66659627E-06
  3691.41138  0.00012792644  9.45556894E-06
  3713.63916  0.000126364786  9.24915184E-06
  3736.00098  0.000124821949  9.04721765E-06
  3758.49756  0.000123297636  8.84966539E-06
  3781.12939  0.000121791949  8.65642869E-06
  3803.89771  0.00012030427  8.46735475E-06
  3826.80273  0.000118834643  8.28239536E-06
  3849.84595  0.000117382915  8.10145139E-06
  3873.02808  0.00011594862  7.92435821E-06
  3896.34937  0.000114531867  7.75113949E-06
  3919.81152  0.000113132206  7.58169335E-06
  3943.41479  0.000111749381  7.41593931E-06
  3967.16016  0.000110383444  7.25380778E-06
  3991.04858  0.00010903387  7.09511414E-06
  4015.08081  0.000107700667  6.93985749E-06
  4039.25757  0.000106383755  6.78799688E-06
  4063.58008  0.000105082501  6.63942728E-06
  4088.04883  0.000103797189  6.49411049E-06
  4112.66504  0.000102527389  6.35191145E-06
  4137.42969  0.000101272875  6.21276286E-06
  4162.34326  0.000100033707  6.07666243E-06
  4187.40771  9.88094544E-05  5.9435506E-06
  4212.62158  9.76001756E-05  5.81336417E-06
  4237.98828  9.64056162E-05  5.68601899E-06
  4263.50732  9.52253249E-05  5.5613632E-06
  4289.18018  9.40594691E-05  5.43943997E-06
  4315.00781  9.29077214E-05  5.32015019E-06
  4340.99072  9.17698562E-05  5.20340973E-06
  4367.12988  9.06459099E-05  5.08923949E-06
  4393.42676  8.95354606E-05  4.97757355E-06
  4419.88184  8.84384935E-05  4.86835825E-06
  4446.49658  8.73549434E-05  4.76153309E-06
  4473.27148  8.62843153E-05  4.65692347E-06
  4500.20703  8.52268204E-05  4.55461395E-06
  4527.30518  8.41820947E-05  4.45455362E-06
  4554.56641  8.3149891E-05  4.35669745E-06
  4581.99219  8.21303111E-05  4.2609895E-06
  4609.58252  8.11229402E-05  4.16731382E-06
  4637.33936  8.01277638E-05  4.07565994E-06
  4665.26318  7.91447892E-05  3.98602697E-06
  4693.35498  7.81734561E-05  3.89832303E-06
  4721.61621  7.72140193E-05  3.81254813E-06
  4750.04785  7.62662312E-05  3.72864224E-06
  4778.65039  7.53298809E-05  3.64654989E-06
  4807.4248  7.44050267E-05  3.56626629E-06
  4836.37305  7.34911591E-05  3.48773051E-06
  4865.49512  7.25883656E-05  3.41091777E-06
  4894.79297  7.16966242E-05  3.33579487E-06
  4924.26709  7.08153602E-05  3.26222789E-06
  4953.91895  6.99449156E-05  3.19028868E-06
  4983.74902  6.90849847E-05  3.11991425E-06
  5013.75879  6.82352256E-05  3.05104891E-06
  5043.94922  6.73959148E-05  2.98370378E-06
  5074.32178  6.65666084E-05  2.91785022E-06
  5104.87695  6.57473574E-05  2.85345345E-06
  5135.61572  6.49381836E-05  2.79047845E-06
  5166.54004  6.41384249E-05  2.72881698E-06
  5197.65039  6.33485033E-05  2.66851748E-06
  5228.94873  6.25680987E-05  2.60952606E-06
  5260.43457  6.17969126E-05  2.55180112E-06
  5292.11035  6.10352072E-05  2.4953531E-06
  5323.97705  6.02825166E-05  2.44013495E-06
  5356.03564  5.95388883E-05  2.38612824E-06
  5388.28711  5.88044277E-05  2.3333173E-06
  5420.73291  5.80783089E-05  2.28160479E-06
  5453.37402  5.73611287E-05  2.23103689E-06
  5486.21191  5.66525814E-05  2.18159744E-06
  5519.24707  5.59523032E-05  2.13327166E-06
  5552.48096  5.52606652E-05  2.08601659E-06
  5585.91553  5.45770854E-05  2.03972354E-06
  5619.55176  5.39016692E-05  1.99441342E-06
  5653.39014  5.32346057E-05  1.9501108E-06
  5687.43164  5.25750365E-05  1.90680066E-06
  5721.67871  5.192358E-05  1.86445277E-06
  5756.13232  5.12799161E-05  1.82303484E-06
  5790.79297  5.06435681E-05  1.78251128E-06
  5825.66211  5.00151218E-05  1.74288914E-06
  5860.7417  4.93939006E-05  1.70411226E-06
  5896.03223  4.87800462E-05  1.66617622E-06
  5931.53516  4.81738061E-05  1.62908532E-06
  5967.25244  4.75740962E-05  1.59276271E-06
  6003.18408  4.69817824E-05  1.55724933E-06
  6039.33301  4.6396508E-05  1.52252562E-06
  6075.69873  4.58176801E-05  1.48857214E-06
  6112.28369  4.52460517E-05  1.45537615E-06
  6149.08887  4.46808444E-05  1.42288104E-06
  6186.11572  4.4122211E-05  1.39108511E-06
  6223.36572  4.35705406E-05  1.36000006E-06
  6260.83984  4.30244327E-05  1.32958792E-06
  6298.53955  4.24850368E-05  1.29985438E-06
  6336.4668  4.19520184E-05  1.27077431E-06
  6374.62207  4.14245806E-05  1.24231883E-06
  6413.00684  4.09037675E-05  1.21450114E-06
  6451.62305  4.03885024E-05  1.18728121E-06
  6490.47119  3.98790107E-05  1.1606536E-06
  6529.55371  3.93759146E-05  1.13462352E-06
  6568.87207  3.88774206E-05  1.10914937E-06
  6608.42676  3.83850347E-05  1.0842449E-06
  6648.21973  3.78983787E-05  1.05989182E-06
  6688.25195  3.74162482E-05  1.03605976E-06
  6728.52539  3.69402223E-05  1.01276203E-06
  6769.0415  3.64688567E-05  9.89968726E-07
  6809.80127  3.60024023E-05  9.67672122E-07
  6850.80664  3.55418815E-05  9.45877957E-07
  6892.05908  3.50846931E-05  9.24550136E-07
  6933.56006  3.46330162E-05  9.03700425E-07
  6975.31055  3.41864361E-05  8.83312794E-07
  7017.3125  3.37430101E-05  8.63354444E-07
  7059.56738  3.33052958E-05  8.43847374E-07
  7102.07715  3.28710375E-05  8.24764584E-07
  7144.84229  3.24405482E-05  8.06098512E-07
  7187.86523  3.20156505E-05  7.87856436E-07
  7231.14697  3.15921461E-05  7.69998678E-07
  7274.68945  3.1173553E-05  7.52541723E-07
  7318.49414  3.07592818E-05  7.35475965E-07
  7362.5625  3.034562E-05  7.18777073E-07
  7406.89648  2.99374442E-05  7.02457612E-07
