Cr Density=7.19
 Energy(eV), Delta, Beta
  1179.80505  0.000969238929  0.000295992737
  1186.9093  0.000958514633  0.00028984368
  1194.0564  0.000947856402  0.000283821602
  1201.24634  0.000937316159  0.000277924933
  1208.47974  0.00092686282  0.000272150879
  1215.75671  0.000916499761  0.000266496849
  1223.07727  0.00090625236  0.000260960427
  1230.44214  0.000896073761  0.000255539489
  1237.85132  0.000886004709  0.000250231475
  1245.30505  0.000876035483  0.000245033472
  1252.80371  0.000866146409  0.000239942819
  1260.34753  0.000856368511  0.000234957697
  1267.93677  0.00084667257  0.000230076126
  1275.57153  0.000837072439  0.00022529588
  1283.25244  0.000827579061  0.000220614937
  1290.97961  0.000818158966  0.000216031549
  1298.7533  0.000808845973  0.000211543345
  1306.57373  0.00079962454  0.000207148492
  1314.44128  0.000790488964  0.000202845287
  1322.35632  0.000781457464  0.000198631475
  1330.31897  0.000772506173  0.000194504726
  1338.32947  0.000763651915  0.000190463616
  1346.38818  0.000754894223  0.00018650663
  1354.49548  0.000746214995  0.000182632313
  1362.65173  0.000737635302  0.000178838629
  1370.85693  0.00072914199  0.000175123263
  1379.11157  0.000720736687  0.000171484717
  1387.41589  0.000712428184  0.000167921753
  1395.77026  0.000704197388  0.000164433164
  1404.17493  0.000696060248  0.000161017146
  1412.63025  0.000688011642  0.000157672126
  1421.13647  0.000680044002  0.000154396606
  1429.69385  0.000672168622  0.000151189161
  1438.30273  0.000664388121  0.000148048057
  1446.9635  0.000656699121  0.000144972233
  1455.67651  0.000649098889  0.000141960365
  1464.44189  0.000641585561  0.000139011536
  1473.26001  0.000634159194  0.000136123956
  1482.13135  0.00062682305  0.000133275389
  1491.05603  0.000619577244  0.000130461471
  1500.03442  0.00061241514  0.000127706968
  1509.06702  0.000605303794  0.000124947255
  1518.15393  0.000598268525  0.000122234153
  1527.29541  0.00059130264  0.000119580029
  1536.49207  0.000584370631  0.00011698356
  1545.74414  0.000577519764  0.000114443523
  1555.05188  0.000570730248  0.000111958492
  1564.41565  0.000564007089  0.000109527296
  1573.83582  0.00055736315  0.000107148888
  1583.31274  0.000550772995  0.000104822495
  1592.8468  0.00054425979  0.000102546706
  1602.43811  0.000537816784  0.000100320271
  1612.08728  0.000531436584  9.81419944E-05
  1621.79443  0.000525132171  9.60110265E-05
  1631.56018  0.000518889981  9.39261954E-05
  1641.38464  0.000512717292  9.18867081E-05
  1651.26819  0.000506616605  8.98915168E-05
  1661.21155  0.000500574766  8.79396539E-05
  1671.21448  0.000494605105  8.60301952E-05
  1681.27771  0.000488700287  8.41621804E-05
  1691.40161  0.000482859177  8.23348673E-05
  1701.58643  0.000477087859  8.05472082E-05
  1711.83264  0.000471375301  7.87980098E-05
  1722.14038  0.000465729478  7.70867482E-05
  1732.51038  0.000460149022  7.54126813E-05
  1742.94275  0.0004546282  7.37753362E-05
  1753.43787  0.000449173676  7.21735487E-05
  1763.99622  0.000443779456  7.06064311E-05
  1774.61829  0.000438446674  6.90732486E-05
  1785.3042  0.000433178007  6.75733172E-05
  1796.05432  0.000427964027  6.61062586E-05
  1806.86938  0.000422812591  6.46710469E-05
  1817.74951  0.000417721021  6.32669035E-05
  1828.69519  0.000412686961  6.18930935E-05
  1839.70667  0.000407713611  6.05490786E-05
  1850.78455  0.000402795442  5.92343386E-05
  1861.92908  0.000397934957  5.79481675E-05
  1873.14075  0.000393132417  5.66899325E-05
  1884.41992  0.000388382963  5.54591279E-05
  1895.76697  0.00038369096  5.42550588E-05
  1907.1825  0.00037905309  5.30769503E-05
  1918.66663  0.000374468946  5.19243586E-05
  1930.21985  0.000369940302  5.07968034E-05
  1941.84277  0.000365463289  4.96939392E-05
  1953.53552  0.00036104006  4.86150493E-05
  1965.29895  0.000356669392  4.7559497E-05
  1977.13306  0.00035234922  4.65267876E-05
  1989.03833  0.000348081376  4.55165136E-05
  2001.01538  0.000343863416  4.45281876E-05
  2013.06458  0.000339695602  4.35613401E-05
  2025.18628  0.000335578312  4.26154584E-05
  2037.38098  0.000331513525  4.16901894E-05
  2049.64917  0.000327497954  4.07850057E-05
  2061.99121  0.000323530607  3.9899438E-05
  2074.40747  0.000319610728  3.90330497E-05
  2086.89868  0.00031573826  3.81854297E-05
  2099.46484  0.000311910524  3.73432158E-05
  2112.10693  0.000308128365  3.65157357E-05
  2124.82495  0.000304390851  3.5706511E-05
  2137.61963  0.000300691288  3.49146685E-05
  2150.49146  0.000297036662  3.41403538E-05
  2163.44067  0.000293423043  3.33832431E-05
  2176.46777  0.000289850286  3.26429181E-05
  2189.57349  0.000286321039  3.19190076E-05
  2202.75806  0.000282831403  3.12110496E-05
  2216.02222  0.000279383908  3.05187605E-05
  2229.36597  0.000275977392  2.98418818E-05
  2242.79028  0.000272609526  2.91800843E-05
  2256.29517  0.000269282813  2.85329716E-05
  2269.88159  0.000265994953  2.79001688E-05
  2283.5498  0.000262746325  2.72813595E-05
  2297.30005  0.000259537366  2.66763072E-05
  2311.1333  0.000256365107  2.60846664E-05
  2325.0498  0.000253231643  2.55061532E-05
  2339.05029  0.000250135548  2.49404839E-05
  2353.13501  0.000247076212  2.4387391E-05
  2367.30444  0.000244054245  2.38465418E-05
  2381.55933  0.000241067697  2.33176543E-05
  2395.89966  0.000238117325  2.28004883E-05
  2410.3269  0.000235202679  2.22947965E-05
  2424.84058  0.000232322534  2.18003825E-05
  2439.44189  0.000229477606  2.13169133E-05
  2454.1311  0.000226666467  2.08441415E-05
  2468.90869  0.000223888972  2.03818236E-05
  2483.77539  0.000221145456  1.99297574E-05
  2498.73145  0.000218434914  1.94877539E-05
  2513.77783  0.000215757464  1.90555329E-05
  2528.91455  0.000213112464  1.86329326E-05
  2544.14258  0.000210498911  1.82197218E-05
  2559.46216  0.000207917386  1.78156788E-05
  2574.87402  0.000205366581  1.74205743E-05
  2590.37842  0.000202846684  1.70342282E-05
  2605.97656  0.000200357594  1.66564314E-05
  2621.66846  0.000197898436  1.62870019E-05
  2637.45508  0.000195469416  1.5925767E-05
  2653.33643  0.000193069936  1.55725811E-05
  2669.31372  0.000190699531  1.52272587E-05
  2685.38696  0.000188358274  1.48896124E-05
  2701.55713  0.000186044665  1.45593867E-05
  2717.82471  0.000183759243  1.42364734E-05
  2734.19019  0.000181501789  1.39207305E-05
  2750.6543  0.000179271578  1.3612007E-05
  2767.21704  0.00017706881  1.33101548E-05
  2783.88013  0.000174892659  1.30149547E-05
  2800.64355  0.000172742992  1.27263002E-05
  2817.50757  0.00017061978  1.24440512E-05
  2834.47314  0.000168521874  1.21680878E-05
  2851.54102  0.000166449667  1.18982307E-05
  2868.71167  0.000164402751  1.16343635E-05
  2885.9856  0.000162380646  1.13763299E-05
  2903.36377  0.000160383366  1.11240206E-05
  2920.84644  0.000158410126  1.08773365E-05
  2938.43433  0.000156460897  1.06361349E-05
  2956.12842  0.000154535577  1.04002693E-05
  2973.92871  0.000152633744  1.01696314E-05
  2991.83643  0.000150755252  9.94409766E-06
  3009.85181  0.000148899562  9.72356247E-06
  3027.97559  0.000147066312  9.507904E-06
  3046.20874  0.000145255573  9.29702492E-06
  3064.55151  0.000143466546  9.09085065E-06
  3083.00464  0.000141699435  8.88925297E-06
  3101.56909  0.000139953947  8.69212272E-06
  3120.24536  0.000138229603  8.49935077E-06
  3139.03394  0.000136526476  8.31085435E-06
  3157.93579  0.000134843911  8.12655071E-06
  3176.95142  0.000133181791  7.9463307E-06
  3196.0813  0.000131540175  7.77012065E-06
