Energy	Efficiency(GR)	alpha(norm)	alpha	beta	Cff
1590	0.3310187324	86.37986311	3.62014000000001	6.14098506621484	1.69422018789828
1592	0.3316745785	86.38572901	3.61427	6.13500177924993	1.69532107747228
1594	0.3323156703	86.39157602	3.60842	6.12903641674927	1.69642109546972
1596	0.3329450579	86.39740799	3.60259000000001	6.12308894972467	1.69752021135639
1598	0.3335832424	86.40322518	3.59677000000001	6.1171534621026	1.6986214823262
1600	0.334223191	86.40902821	3.59097	6.11123581973287	1.69972180784833
1602	0.3348639413	86.41481636	3.58517999999999	6.10533011423672	1.70082426307364
1604	0.3355020679	86.42058932	3.57941	6.09944220389786	1.70192572900666
1606	0.3361418328	86.42634664	3.57365	6.09356618802053	1.70302929882373
1608	0.3367729608	86.43208988	3.56791	6.08770791733405	1.70413183499473
1610	0.3374097723	86.43781878	3.56218	6.08186149881352	1.70523644878924
1612	0.3380465713	86.4475331	3.55247	6.07368944333122	1.70760246617569
1614	0.3387457025	86.45323351	3.54677	6.06787404945422	1.70871175498269
1616	0.339448423	86.45891894	3.54107999999999	6.06207044915182	1.70982310133047
1618	0.3401282375	86.46458785	3.53541	6.05628446994458	1.71093331264808
1620	0.3408092886	86.47023921	3.52976	6.05051608323235	1.7120423565671
1622	0.341462054	86.47587601	3.52412	6.04475942326992	1.713153407462
1624	0.3421303791	86.48149881	3.5185	6.0390203062972	1.71426324443028
1626	0.3428079485	86.48710785	3.51289	6.03329287420067	1.71537506027559
1628	0.3434775026	86.49270291	3.5073	6.02758293571774	1.71648561514854
1630	0.3441490776	86.49828332	3.50172000000001	6.02188464035232	1.71759812034631
1632	0.3448156475	86.50384866	3.49615	6.01619797103998	1.71871257084265
1634	0.3454848725	86.50939964	3.4906	6.01052872528116	1.71982569825891
1636	0.3461612213	86.51493696	3.48506	6.00487106398274	1.72094074179651
1638	0.3468402015	86.52046092	3.47954	5.99923077716914	1.72205441394641
1640	0.3475263031	86.52597143	3.47403	5.99360203333748	1.72316997258232
1642	0.3482308724	86.53146815	3.46853	5.98798481554927	1.72428741222392
1644	0.3489137737	86.53694806	3.46305	5.98238490263284	1.7254034165603
1646	0.3496548727	86.54641098	3.45359000000001	5.9744863560252	1.72784786302655
1648	0.3504487004	86.55185981	3.44814	5.96891667868525	1.72896805375016
1650	0.3513635842	86.55729561	3.4427	5.96335844537646	1.73009007495967
1652	0.3522306853	86.56271799	3.43728	5.95781741556916	1.73121056259185
1654	0.3528054273	86.56812692	3.43187	5.95228778866536	1.7323328494487
1656	0.3533906732	86.57352281	3.42648	5.94677531670922	1.73345355195881
1658	0.3539827125	86.57890438	3.4211	5.94127420664323	1.73457602196547
1660	0.3545765445	86.58427288	3.41573	5.93578444173431	1.73570025312257
1662	0.3551567655	86.58962834	3.41037	5.93030600527494	1.73682623902021
1664	0.3557359967	86.59497082	3.40503	5.92484463448074	1.73795055690221
1666	0.3563247584	86.60030035	3.3997	5.91939455133404	1.7390765969679
1668	0.3569246839	86.60561699	3.39438	5.91395573919968	1.74020435253577
1670	0.3574951372	86.61091846	3.38908000000001	5.9085339241975	1.74133037124227
1672	0.3580469942	86.61620354	3.38379999999999	5.90312907859207	1.74245461683311
1674	0.358591512	86.62147383	3.37853	5.89773543937227	1.74358051810431
1676	0.3591293918	86.62673138	3.37327000000001	5.89235298999747	1.74470806795702
1678	0.359691627	86.63197671	3.36802	5.88698171395132	1.74583725922556
1680	0.3602221377	86.63720922	3.36279	5.88162731895087	1.74696458987926
1682	0.3607722598	86.64242861	3.35757	5.8762840569145	1.74809352760542
1684	0.3613120642	86.64763568	3.35236	5.87095191139719	1.74922406495991
1686	0.3618963947	86.65682891	3.34317	5.86335224603537	1.75176443815605
1688	0.3625042339	86.66200985	3.33799	5.85804946605992	1.75289859354994
1690	0.3630958457	86.66717864	3.33282	5.85275774615191	1.75403431588114
1692	0.3637035582	86.67233514	3.32765999999999	5.84747706994605	1.75517159735242
1694	0.3642950699	86.67747887	3.32252	5.84221311486063	1.75630685568602
1696	0.3649023495	86.68260986	3.31739	5.83696016343979	1.75744363720894
